English,Turkish
illegal,yasadışı
pulling,çeken
throwing,atma
josh,josh
unbelievable,Inanılmaz
ted,Ted
zero,sıfır
dean,Dekan
curious,meraklı
sean,Sean
candy,Şeker
bone,kemik
tied,bağlı
edge,kenar
load,yük
susan,susan
ahh,Ahh
mountains,dağlar
boom,Boom
former,önceki
holiday,tatil
riding,binme
scoffs,çırpma
hundreds,yüzlerce
motherfucker,orospu çocuğu
sue,Dava açmak
bags,çantalar
stealing,çalma
appears,görünmek
arrive,varmak
remains,kalıntılar
decent,düzgün
issues,sorunlar
tip,uç
fail,hata
bride,gelin
pissed,sinirli
penny,kuruş
claim,iddia
friendship,dostluk
desperate,çaresiz
flower,çiçek
dramatic,dramatik
refuse,reddetmek
solve,çözmek
theme,tema
loving,sevgi dolu
properly,düzgün bir şekilde
dragon,Ejderha
mostly,çoğunlukla
chuck,palavra
directly,direkt olarak
surface,yüzey
FALSE,YANLIŞ
cast,döküm
junior,genç
hunting,avcılık
silent,sessiz
thou,sen
egg,Yumurta
germany,Almanya
punch,yumruk
africa,Afrika
woke,uyandı
intelligence,istihbarat
borrow,borç almak
winning,kazanan
falls,düşme
popular,popüler
escaped,kaçtı
witch,cadı
convinced,ikna edilmiş
warn,uyarmak
announcer,spiker
champagne,Şampanya
dust,toz
kyle,Kyle
someday,bir gün
fallen,düşmüş
stranger,yabancı
presence,mevcudiyet
tear,göz yaşı
,
internet,internet
monsieur,mösyö
therefore,İƒÂ–yleyse
technology,teknoloji
tires,lastikler
toast,kızarmış ekmek
wise,bilge
clark,Clark
americans,Amerikalılar
notes,notlar
smoking,sigara içmek
hank,çile
ls,LS
april,nisan
wolf,kurt
precious,değerli
rooms,Odalar
coast,sahil
treated,işlem görmüş
material,malzeme
released,piyasaya sürülmüş
uniform,üniforma
hated,nefret
considered,dikkate alınan
rice,pirinç
exchange,değişme
steps,adım
blake,Blake
convince,ikna etmek
beast,canavar
cow,inek
files,Dosyalar
signs,işaretler
drag,sürüklemek
cab,taksi
hung,asılı
carried,taşınan
ordinary,sıradan
successful,başarılı
eve,havva
mistakes,hatalar
houses,evler
chattering,gevezelik
brains,beyin
japan,Japonya
creature,yaratık
fourth,dördüncü
separate,ayırmak
cleaning,temizlik
california,Kaliforniya


shift,vardiya
elizabeth,Elizabeth
chicago,Chicago
exact,bire bir aynı
karen,Karen
goal,amaç
expert,uzman
served,servis edilen
direct,yönlendirmek
score,Gol
row,sıra
marks,izler
twenty,yirmi
receive,almak
series,seri
section,bölüm
pilot,pilot
jackson,Jackson
darkness,karanlık
thy,senin
sale,satış
destiny,kader
cure,tedavi
spoken,konuşulmuş
armed,silahlı
rare,nadir
helen,Helen
grade,seviye
juice,Meyve suyu
wide,geniş
tower,kule
solution,çözüm
schedule,takvim
explosion,patlama
wheel,teker
cigarette,sigara
julie,Julie
fruit,meyve
blew,patlak vermek
victor,zafer
talks,görüşmeler
sacrifice,kurban etmek
range,menzil
button,düğme
reports,raporlar
prisoner,mahkum
pie,turta
effort,çaba
youth,gençlik
pot,tencere
eaten,yenilmiş
taylor,Taylor
knees,dizler
garage,garaj
parking,otopark
ambulance,ambulans
staring,bakmak
chances,şansı
circumstances,durumlar
sin,günah
gordon,Gordon
progress,ilerlemek
unusual,olağan dışı
county,ilçe
stairs,merdiven
campaign,kampanya
mon,Pzt
vision,görüş
reporter,muhabir
equipment,teçhizat
moments,anlar
joey,joey
mass,yığın
alien,yabancı
trapped,hapsolmuş
helps,yardım eder
route,rota
defend,savunmak
trace,iz
nasty,edepsiz
tests,testler
magazine,dergi
rocks,kaya
dump,çöplük
rude,kaba
searching,Aranıyor
clue,ipucu
connected,bağlı
amen,amin
pushed,itilmiş
merry,şen
zone,alan
senior,kıdemli
closing,kapanış
freeze,donmak
emperor,imparator
incident,olay
snake,yılan
mexico,Meksika
lily,zambak
actor,aktör
newspaper,gazete
sentence,cümle
greg,Greg
leading,önde gelen
friendly,arkadaşça
jones,Jones
chosen,seçilmiş
engaged,nişanlı
julia,Julia
charming,alımlı
mustn,zorunlu
anger,kızgınlık
spending,harcama
learning,öğrenme
spy,casus
sharp,keskin
shadow,gölge
warrant,garanti
elevator,asansör
kingdom,krallık
ricky,alıkoyan
jamie,Jamie
squad,Tayfa
shoulder,omuz
wave,dalga
amanda,Amanda
highness,majester
kinds,türler
fishing,Balık tutma
sometime,bazen
attitude,davranış
sucks,berbat
negative,olumsuz
screen,ekran
workers,işçi
bored,sıkılmış
cameras,kameralar
similar,benzer
understanding,anlayışlı
beeps,bip sesi
chain,zincir
bull,Boğa
gasping,nefes nefese
fully,tamamen
robin,robin
collect,TOPLAMAK
gorgeous,muhteşem
morgan,Morgan
passion,tutku
writer,yazar
empire,imparatorluk
international,uluslararası
curse,küfür
hire,kiralamak
bastards,piç
puts,koyulur
leads,kurşunlar
id,İD
blows,darbeler
sons,oğullar
estate,arazi
customers,müşteriler
maggie,Maggie
gunshot,ateşli silah
i-,Ben-
device,cihaz
troops,birlikler
hug,sarılmak
design,tasarım
movement,hareket
thunder,gök gürültüsü
object,nesne
loser,beceriksiz
pen,dolma kalem
sobbing,hıçkırık
politics,siyaset
despite,aksine
alcohol,alkol
climb,tırmanmak
clients,müşteriler
conference,konferans
provide,sağlamak
marty,kantal
seek,aramak
witnesses,tanıklar
earn,para kazanmak
trash,çöp
valley,vadi
fashion,moda
howard,Howard
episode,bölüm
prize,ödül
previously,önceden
sports,Spor Dalları
wanting,isteyen
debt,borç
wishes,dilek
hitler,Hitler
wire,tel
thee,sana
circle,daire
approach,yaklaşmak
stock,stoklamak
facts,gerçekler
remembered,hatırladı
percent,yüzde
normally,normalde
tail,kuyruk
joined,katıldı
education,eğitim
bravo,Bravo
library,kütüphane
rape,tecavüz etmek
wings,kanatlar
growling,hırsızlık
thrown,atılan
tank,tank
exhales,ekshales
authority,yetki
current,akım
failure,arıza
nightmare,kabus
hitting,isabet
glory,görkem
knocked,vurulmuş
studying,ders çalışıyor
barry,barry
agency,Ajans
apple,elma
border,sınır
rope,halat
duck,ördek
reputation,itibar
confidence,kendinden emin
yard,bahçe
beloved,sevgili
lack,eksiklik
actual,gerçek
skills,yetenekler
films,filmler
mental,akıllı
salt,tuz
flesh,beden
anne,Anne
secure,güvenli
highly,büyük ölçüde
federal,federal
sand,kum
emotional,duygusal
setting,ayar
nothin,hiçbirşey
senator,senatör
services,Hizmetler
robbery,soygun
hates,nefret
fed,Besledi
reward,ödül
theater,tiyatro
johnson,Johnson
commit,işlemek
patrick,Patrick
entirely,Baştan sona
extraordinary,olağanüstü
ships,gemiler
opposite,zıt
parties,partiler
stands,Standlar
terry,Terry
chat,sohbet
events,olaylar
mummy,mumya
bay,koy
slip,kaymak
disappointed,hayal kırıklığına uğramış
settled,yerleşmiş
begins,başlıyor
andrew,Andrew
alert,uyarı
detail,detay
pink,pembe
fellas,adam
accepted,kabul edilmiş
background,arka plan
garbage,çöp
panic,panik
minds,zihinler
belt,kemer
blowing,üfleme
hollywood,Hollywood
agreement,anlaşma
jackie,Jackie
pushing,itme
ability,yetenek
tiger,kaplan
whispering,fısıldayan
culture,kültür
saint,aziz
jesse,Jesse
task,görev
solid,sağlam
doll,oyuncak bebek
intend,niyet etmek
district,semt
pa,pa
gee,gue
custody,velayet
ignore,görmezden gelmek
naturally,doğal olarak
useful,kullanışlı
attempt,girişim
abandoned,terk edilmiş
cutting,kesme
kissed,öptü
guarantee,garanti
barking,havlayan
gather,toplamak
policy,politika
u.s.,biz.
violent,şiddetli
maid,hizmetçi
embarrassing,utandırıcı
childhood,çocukluk
wasting,israf
bow,yay
chick,piliç
sara,Sara
disaster,felaket
revolution,devrim
online,çevrimiçi
f,F
demon,iblis
heavily,ağır şekilde
coincidence,tesadüf
perform,rol yapmak
thin,ince
terrific,müthiş
mac,Mac
crown,taç
identity,kimlik
virgin,bakir
impressive,etkileyici
windows,pencereler
no-one,hiç kimse
potential,potansiyel
guitar,gitar
committee,Kurul
dozen,düzine
delivery,teslimat
advance,ilerlemek
quietly,sessizce
stan,stan
teaching,öğretim
hunter,avcı
latest,en sonuncu
hurting,acı çeken
swing,sallanmak
capital,başkent
counting,sayma
drew,çizdi
dirt,kir
whistle,ıslık
marie,Marie
hits,vuruş
doug,Doug
deny,reddetmek
urgent,acil
behavior,davranış
molly,Molly
mixed,karışık
stays,kalır
assure,garanti etmek
subtitles,altyazılar
explanation,açıklama
wins,kazanır
unique,eşsiz
chasing,avcılık
billion,milyar
duke,dük
production,üretme
slave,köle
agents,ajanlar
carol,carol
lets,Haydi
cruel,acımasız
mask,maske
sally,Sally
behave,davranmak
bury,gömmek
massive,cüsseli
pathetic,acınası
species,türler
approaching,yaklaşan
jo,jo
loan,borç
struggle,çabalamak
dish,tabak
trusted,güvenilir
jumped,atlamalı
firing,ateşleme
channel,kanal
abby,Abby
stopping,Durduruluyor
asks,sorar
jean,jean
swimming,yüzme
daily,günlük
basement,bodrum
linda,Linda
quarter,çeyrek
erm,erm
bound,ciltli
article,madde
guide,rehber
accused,sanık
transfer,Aktar
guts,bağırsaklar
quality,kalite
fella,fella
roman,Roma
greater,daha büyük
damned,lanet olası
couch,kanepe
cheer,tezahürat etmek
vegas,Vegas
shoe,ayakkabı
title,başlık
shy,utangaç
punishment,ceza
los,los
clicks,tıkırtı
you,Sen
closet,dolap
bye-bye,güle güle
fever,ateş
coward,korkak
flash,flaş
impressed,etkilenmiş
bruce,bruce
siren,siren
prisoners,mahkum
sides,taraf
bowl,tas
katie,katie
supply,tedarik
sensitive,hassas
hopefully,umutla
rolling,yuvarlamak
roy,Roy
dollar,dolar
tone,tonlamak
voices,sesler
g,G
i,Ben
cheating,hile
confess,itiraf etmek
demand,talep etmek
museum,müze
unknown,Bilinmeyen
drama,drama
suspicious,şüpheli
adult,yetişkin
todd,Todd
frightened,korkmuş
warned,uyarılmış
steady,sabit durmak
kills,öldürmek
crossed,çapraz
lou,lou
particularly,özellikle
sandwich,sandviç
laws,yasalar
joint,eklem yeri
bullets,mermi
package,paketi
trained,eğitilmiş
thursday,Perşembe
boots,bot ayakkabı
possibility,olasılık
albert,Albert
civil,sivil
june,haziran
germans,Almanlar
baseball,beyzbol
express,ifade etmek
miserable,acınası
tuesday,Salı
parker,parkçı
lion,aslan
joseph,Joseph
refused,reddetti
shine,parlamak
assault,saldırı
hong,Hong
jokes,espriler
breaks,molalar
argue,tartışmak
you-,Sen-
trail,iz
option,seçenek
recall,hatırlamak
mighty,kudretli
collection,Toplamak
oliver,Oliver
wilson,Wilson
accent,aksan
believes,inanıyor
decisions,kararlar
embarrassed,utanmış
mobile,hareketli
customer,müşteri
terribly,çok
sec,sec
charity,hayır kurumu
considering,düşünen
pussy,kedi
donna,Donna
protecting,koruma
flag,bayrak
kidnapped,kaçırılmış
italy,İtalya
balance,denge
creatures,yaratıklar
nuclear,nükleer
wallet,cüzdan
shout,bağırmak
vincent,Vincent
entered,girdi
impression,izlenim
angela,Angela
jay,Jay
degrees,dereceler
favour,iyilik
reaction,reaksiyon
network,ağ
jessica,Jessica
version,versiyon
concert,konser
gear,vites
singer,şarkıcı
diamond,elmas
defeat,yenmek
steven,Steven
lane,Lane
blast,büyük patlama
wounded,yaralı
anytime,istediğin zaman
partners,ortaklar
ages,yaşlar
charlotte,Charlotte
ceremony,tören
league,lig
bars,Barlar
orange,turuncu
specific,özel
conditions,koşullar
plastic,plastik
crisis,kriz
fifth,beşinci
term,terim
self,kendi kendine
offering,teklif
bud,tomurcuk
suffered,acı çekti
reported,bildirilmiş
commissioner,komiser
rip,Huzur içinde yatsın
mysterious,gizemli
entrance,giriş
messed,dağınık
tunnel,tünel
designed,tasarlanmış
neighbor,komşu
aboard,gemide
sweat,ter
justin,Justin
ghosts,hayaletler
crimes,Suçlar
costs,maliyet
deserves,hak ediyor
dreaming,rüya görmek
bust,baskın yapmak
el,el
teddy,Teddy
kong,kong
messages,mesaj
enjoying,keyif
afterwards,daha sonrasında
comfort,konfor
mason,Duvarcı
surrender,teslim olmak
gym,spor salonu
kitty,Yavru kedi
crush,ezmek
yup,Evet
arranged,düzenlenmiş
suits,takım elbise
pee,işemek
stress,stres
cave,mağara
wing,kanat
jordan,İƒÂœrdün
arrange,düzenlemek
comrade,yoldaş
noble,soylu
tricks,hileler
betty,Betty
launch,öğle yemeği
legend,efsane
mix,karışım
golf,golf
imagination,hayal gücü
fox,tilki
kissing,öpüşmek
butter,tereyağı
tax,vergi
gross,brüt
edward,Edward
texas,Teksas
insist,ısrar etmek
marcus,marcus
classic,klasik
selfish,bencil
skull,kafatası
frankie,Frankie
shown,gösterişli
bat,yarasa
survived,hayatta kaldı
print,Yazdır
champion,şampiyon
bills,faturalar
therapy,terapi
lifetime,ömür
throughout,boyunca
a.m.,A.M.
nathan,Nathan
toward,karşı
sauce,Sos
experiment,deney
margaret,Margaret
describe,betimlemek
ross,Ross
grass,çimen
cheat,aldatmak
attend,katılmak
homework,Ev ödevi
lewis,Lewis
betrayed,ihanete uğramış
servant,hizmetkar
cap,kapak
tyler,Tyler
bible,Kutsal Kitap
practically,pratikte
catherine,Catherine
steel,çelik
wipe,silip süpürmek
burns,yanık
j,J
generation,nesil
cabin,kabin
financial,parasal
industry,sanayi
bond,bağlamak
sheep,koyun
scientists,Bilim insanları
beaten,dövülmüş
heck,kahrolası
deck,güverte
fans,hayran
script,senaryo
brand,marka
degree,derece
painful,acı verici
coughing,öksürme
religion,din
cats,kediler
stephen,Stephen
influence,etkilemek
fuel,yakıt
drawing,çizim
uh-oh,uh-oh
rabbit,tavşan
exercise,egzersiz yapmak
attractive,çekici
touching,dokunaklı
virus,virüs
realise,fark etmek
torture,işkence
blessed,kutsanmış
plain,ova
rebecca,Rebecca
recent,son
barbara,barbara
footsteps,ayak izleri
sacred,kutsal
removed,kaldırıldı
pretending,taklit
wasted,heba olmuş
jewish,Yahudi
goodnight,iyi geceler
robot,robot
crystal,kristal
confirm,onaylamak
lad,delikanlı
division,bölüm
scratch,çizik
reminds,hatırlatıyor
walks,yürüyüşleri
ending,bitirme
russia,Rusya
contest,yarışma
valuable,değerli
distant,mesafe
dumped,terkedilmiş
motion,hareket
electricity,elektrik
centre,merkez
murders,cinayet
tina,Tina
jeremy,Jeremy
seal,fok
standard,standart
ellen,Ellen
wore,yıpranmış
surrounded,çevrili
struck,vurmak
inform,bilgi vermek
gentle,nazik
status,durum
purse,el çantası
prints,baskılar
players,oyuncu
charged,yüklü
begging,dilenme
delivered,teslim edilmiş
kenny,Kenny
buck,bükmek
nina,Nina
construction,yapı
confirmed,onaylanmış
confession,itiraf
trigger,tetiklemek
cells,hücre
frankly,açıkçası
ali,Ali
exit,çıkış
response,cevap
cancel,iptal etmek
argument,argüman
principal,müdür
clinic,klinik
greetings,selamlar
neighbors,komşular
vice,mengene
toy,oyuncak
everyday,Her gün
generous,cömert
gain,kazanmak
idiots,salak
holly,çobanpüskülü
enjoyed,keyifli
jungle,orman
link,bağlantı
underground,yeraltı
smiling,gülümseyen
mistress,metre
teams,takımlar
product,ürün
beef,biftek
whispers,fısıltılar
religious,din
presents,hediyeler
identify,tanımlamak
surveillance,gözetim
vampire,vampir
routine,rutin
uses,kullanma
underneath,altında
systems,sistemler
temperature,sıcaklık
waves,dalgalar
tribe,kabile
deputy,milletvekili
headquarters,Merkez
equal,eşit
phones,telefon
reckon,tahmin temek
related,ilgili
incredibly,inanılmaz şekilde
chill,sakin olmak
spit,tükürmek
tracks,pistler
makeup,makyaj yapmak
bug,böcek
sounded,sesli
spirits,ruhlar
nerve,sinir
divorced,boşanmış
stake,kazıklamak
port,liman
doorbell,kapı zili
worries,endişe
nephew,yeğen
miller,freze
units,birimler
just,Sadece
proceed,ilerlemek
landing,iniş
traitor,hain
outfit,kıyafet
bail,kefalet
fields,alanlar
patience,sabır
recording,kayıt
foolish,aptalca
loaded,yüklendi
costume,kostüm
injured,yaralı
somethin,bir şey
pet,Evcil Hayvan
cage,kafes
digging,kazma
spain,ispanya
seats,Koltuklar
awkward,garip
cleaned,temizlenmiş
pattern,model
filthy,pis
visiting,ziyaret
jews,Yahudiler
answering,cevap verme
concentrate,yoğunlaşmak
someplace,bir yer
citizens,Vatandaş
aim,amaç
affairs,iş
thick,kalın
sport,spor
basic,temel
electric,elektrik
pleasant,güzel
cliff,uçurum
nail,çivi
environment,çevre
western,batılı
average,ortalama
ease,kolaylaştırmak
raped,tecavüze uğramış
interrupt,yarıda kesmek
satisfied,memnun
beep,bip sesi
starving,açlıktan ölme
documents,belgeler
anniversary,yıl dönümü
election,seçim
warrior,savaşçı
forth,ileri
fetch,gidip getirmek
banks,bankalar
placed,yerleştirilmiş
timing,zamanlama
stones,taşlar
complex,karmaşık
frozen,dondurulmuş
replace,yer değiştirmek
